ssid,signal,akm,freq
TP-LINK_21B6,-51.0,[4],2467000.0
D19_208,-77.0,[4],2462000.0
TP-LINK_32AD,-68.0,[4],2462000.0
ASUS-429,-80.0,[4],2462000.0
231,-81.0,[4],2457000.0
332fuck,-85.0,[4],2442000.0
dorm528,-88.0,[4],2437000.0
330,-71.0,[4],2422000.0
Viva La Vida,-71.0,[4],2417000.0
TP-LINK_555E,-66.0,[4],2412000.0
,,,
312,-78.0,[4],2467000.0
TP-LINK_21B6,-55.0,[4],2467000.0
Dorm 328,-82.0,[4],2462000.0
D19_208,-77.0,[4],2462000.0
D19_238,-83.0,[4],2462000.0
231,-83.0,[4],2457000.0
dorm-227,-76.0,[4],2437000.0
sjtu218,-86.0,[4],2437000.0
D19_213,-72.0,[4],2432000.0
D19-314,-76.0,[4],2422000.0
330,-75.0,[4],2422000.0
Viva La Vida,-68.0,[4],2417000.0
313ä¸ç¨,-75.0,[4],2417000.0
DIRECT-TXLAPTOP-GABHGO0UmsLO,-72.0,[4],2412000.0
TP-LINK_555E,-70.0,[4],2412000.0
215,-85.0,[4],2412000.0
TP-LINK 215,-72.0,[4],2412000.0
lswä¸çº¿,-86.0,[4],2412000.0
d19-225,-86.0,[4],2412000.0
211,-67.0,[4],2412000.0
,,,
D19-314,-76.0,[4],2422000.0
330,-75.0,[4],2422000.0
Viva La Vida,-68.0,[4],2417000.0
313ä¸ç¨,-75.0,[4],2417000.0
DIRECT-TXLAPTOP-GABHGO0UmsLO,-72.0,[4],2412000.0
TP-LINK_555E,-70.0,[4],2412000.0
215,-85.0,[4],2412000.0
TP-LINK 215,-72.0,[4],2412000.0
lswä¸çº¿,-86.0,[4],2412000.0
d19-225,-86.0,[4],2412000.0
211,-67.0,[4],2412000.0
,,,
ä½ ç¸ç¸,-79.0,[4],2472000.0
214 ,-74.0,[4],2472000.0
TP-LINK_21B6,-63.0,[4],2467000.0
Dorm 328,-81.0,[4],2462000.0
TP-LINK_32AD,-72.0,[4],2462000.0
dorm529,-79.0,[4],2437000.0
414,-85.0,[4],2437000.0
sjtu218,-85.0,[4],2437000.0
310,-88.0,[4],2437000.0
TP-LINK_F6EA,-52.0,[4],2437000.0
D19_213,-67.0,[4],2432000.0
330,-70.0,[4],2422000.0
Viva La Vida,-75.0,[4],2417000.0
TP-LINK 215,-73.0,[4],2412000.0
D19_237_5G,-86.0,[4],2412000.0
211,-70.0,[4],2412000.0
,,,
dorm529,-79.0,[4],2437000.0
414,-85.0,[4],2437000.0
sjtu218,-85.0,[4],2437000.0
310,-88.0,[4],2437000.0
TP-LINK_F6EA,-52.0,[4],2437000.0
D19_213,-67.0,[4],2432000.0
330,-70.0,[4],2422000.0
Viva La Vida,-75.0,[4],2417000.0
TP-LINK 215,-73.0,[4],2412000.0
D19_237_5G,-86.0,[4],2412000.0
211,-70.0,[4],2412000.0
,,,
