ssid,signal,akm,freq
,-80.0,[4],5180000.0
,-60.0,[4],2462000.0
,-82.0,[4],2437000.0
220,-80.0,[4],2472000.0
117,-82.0,[4],2472000.0
TP-LINK_FF8A,-63.0,[4],2472000.0
Great 334,-67.0,[4],2472000.0
128çwifi,-57.0,[4],2467000.0
D19-117,-89.0,[4],2462000.0
D19_238,-48.0,[4],2462000.0
DIRECT-q4LAPTOP-4L5OA51RmsYR,-81.0,[4],2462000.0
Liaohx,-73.0,[4],2462000.0
,-80.0,[4],5180000.0
,-60.0,[4],2462000.0
,-82.0,[4],2437000.0
WMK,-63.0,[4],2462000.0
231,-83.0,[4],2457000.0
d19-233,-64.0,[4],2447000.0
332fuck,-71.0,[4],2442000.0
,-80.0,[4],5180000.0
,-60.0,[4],2462000.0
,-82.0,[4],2437000.0
ä¸19-336,-78.0,[4],2437000.0
TP-LINK_F6EA,-81.0,[4],2437000.0
sjtu218,-86.0,[4],2437000.0
TP-LAN,-72.0,[4],2437000.0
new-433,-80.0,[4],2437000.0
,-85.0,[0],2432000.0
D19-234,-44.0,[4],2417000.0
H3C,-85.0,[4],2412000.0
TP-LINK_D22A,-55.0,[4],2412000.0
,,,
,-82.0,[4],2437000.0
ä¸19-336,-78.0,[4],2437000.0
TP-LINK_F6EA,-81.0,[4],2437000.0
sjtu218,-86.0,[4],2437000.0
TP-LAN,-72.0,[4],2437000.0
new-433,-80.0,[4],2437000.0
,-85.0,[0],2432000.0
D19-234,-44.0,[4],2417000.0
H3C,-85.0,[4],2412000.0
TP-LINK_D22A,-55.0,[4],2412000.0
,,,
,-79.0,[4],5180000.0
220,-83.0,[4],2472000.0
Great 334,-70.0,[4],2472000.0
TP-LINK_FF8A,-67.0,[4],2472000.0
128çwifi,-56.0,[4],2467000.0
D19_238,-51.0,[4],2462000.0
DIRECT-q4LAPTOP-4L5OA51RmsYR,-79.0,[4],2462000.0
WMK,-56.0,[4],2462000.0
231,-78.0,[4],2457000.0
wmk-mifi,-85.0,[4],2452000.0
d19-233,-65.0,[4],2447000.0
332fuck,-68.0,[4],2442000.0
TP-LAN,-79.0,[4],2437000.0
tongjie,-65.0,[4],2422000.0
D19-234,-45.0,[4],2417000.0
lswä¸çº¿,-67.0,[4],2412000.0
TP-LINK_44EE,-69.0,[4],2412000.0
TP-LINK_D22A,-62.0,[4],2412000.0
D19-530,-86.0,[4],2412000.0
H3C,-78.0,[4],2412000.0
D19_237_5G,-67.0,[4],2412000.0
,,,
d19-233,-65.0,[4],2447000.0
332fuck,-68.0,[4],2442000.0
TP-LAN,-79.0,[4],2437000.0
tongjie,-65.0,[4],2422000.0
D19-234,-45.0,[4],2417000.0
lswä¸çº¿,-67.0,[4],2412000.0
TP-LINK_44EE,-69.0,[4],2412000.0
TP-LINK_D22A,-62.0,[4],2412000.0
D19-530,-86.0,[4],2412000.0
H3C,-78.0,[4],2412000.0
D19_237_5G,-67.0,[4],2412000.0
,,,
,-76.0,[4],5180000.0
,-73.0,[4],2462000.0
,-59.0,[4],2462000.0
,-76.0,[4],2437000.0
TP-LINK_FF8A,-70.0,[4],2472000.0
Great 334,-66.0,[4],2472000.0
430,-81.0,[4],2467000.0
128çwifi,-54.0,[4],2467000.0
WMK,-62.0,[4],2462000.0
431,-86.0,[4],2462000.0
Liaohx,-69.0,[4],2462000.0
,-76.0,[4],5180000.0
,-73.0,[4],2462000.0
,-59.0,[4],2462000.0
,-76.0,[4],2437000.0
D19_238,-48.0,[4],2462000.0
231,-87.0,[4],2457000.0
d19-233,-61.0,[4],2447000.0
332fuck,-63.0,[4],2442000.0
,-76.0,[4],5180000.0
,-73.0,[4],2462000.0
,-59.0,[4],2462000.0
,-76.0,[4],2437000.0
sjtu218,-80.0,[4],2437000.0
TP-LINK_F6EA,-72.0,[4],2437000.0
330,-79.0,[4],2422000.0
tongjie,-63.0,[4],2422000.0
D19-234,-48.0,[4],2417000.0
lswä¸çº¿,-69.0,[4],2412000.0
TP-LINK_44EE,-71.0,[4],2412000.0
320,-86.0,[4],2412000.0
D19-530,-77.0,[4],2412000.0
TP-LINK_CADD,-76.0,[4],2412000.0
D19_237_5G,-70.0,[4],2412000.0
TP-LINK_D22A,-62.0,[4],2412000.0
,,,
330,-79.0,[4],2422000.0
tongjie,-63.0,[4],2422000.0
D19-234,-48.0,[4],2417000.0
lswä¸çº¿,-69.0,[4],2412000.0
TP-LINK_44EE,-71.0,[4],2412000.0
320,-86.0,[4],2412000.0
D19-530,-77.0,[4],2412000.0
TP-LINK_CADD,-76.0,[4],2412000.0
D19_237_5G,-70.0,[4],2412000.0
TP-LINK_D22A,-62.0,[4],2412000.0
,,,
332,-81.0,[4],5180000.0
,-77.0,[4],5180000.0
,-87.0,[4],2437000.0
Great 334,-67.0,[4],2472000.0
TP-LINK_FF8A,-67.0,[4],2472000.0
430,-87.0,[4],2467000.0
D19_238,-44.0,[4],2462000.0
WMK,-54.0,[4],2462000.0
wmk-mifi,-81.0,[4],2452000.0
d19-233,-59.0,[4],2447000.0
332fuck,-72.0,[4],2442000.0
TP-LAN,-83.0,[4],2437000.0
new-433,-82.0,[4],2437000.0
,-77.0,[4],5180000.0
,-87.0,[4],2437000.0
sjtu218,-87.0,[4],2437000.0
126,-79.0,[4],2432000.0
330,-80.0,[4],2422000.0
ruoniao331,-82.0,[4],2412000.0
H3C,-79.0,[4],2412000.0
115è½¦é,-83.0,[4],2412000.0
D19_237_5G,-65.0,[4],2412000.0
lswä¸çº¿,-66.0,[4],2412000.0
TP-LINK_D22A,-59.0,[4],2412000.0
,,,
332fuck,-72.0,[4],2442000.0
TP-LAN,-83.0,[4],2437000.0
new-433,-82.0,[4],2437000.0
,-87.0,[4],2437000.0
sjtu218,-87.0,[4],2437000.0
126,-79.0,[4],2432000.0
330,-80.0,[4],2422000.0
ruoniao331,-82.0,[4],2412000.0
H3C,-79.0,[4],2412000.0
115è½¦é,-83.0,[4],2412000.0
D19_237_5G,-65.0,[4],2412000.0
lswä¸çº¿,-66.0,[4],2412000.0
TP-LINK_D22A,-59.0,[4],2412000.0
,,,
,-86.0,[4],5180000.0
,-72.0,[4],2462000.0
Great 334,-66.0,[4],2472000.0
TP-LINK_FF8A,-62.0,[4],2472000.0
128çwifi,-49.0,[4],2467000.0
D19-117,-69.0,[4],2462000.0
WMK,-64.0,[4],2462000.0
Liaohx,-63.0,[4],2462000.0
D19_238,-41.0,[4],2462000.0
231,-83.0,[4],2457000.0
d19-233,-51.0,[4],2447000.0
332fuck,-68.0,[4],2442000.0
sjtu218,-80.0,[4],2437000.0
